"","Series","Ep.name","Season","Ep.Number","Ep.Rating","Length","Year","Votes","Genre.1","Genre2","Genre3","Series.Rating","TV.Rating","Location"
"1","Game of Thrones","Winter Is Coming",1,1,9,62,2011,25284,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"2","Game of Thrones","The Kingsroad",1,2,8.8,56,2011,19357,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"3","Game of Thrones","Lord Snow",1,3,8.7,58,2011,18254,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"4","Game of Thrones","Cripples, Bastards, and Broken Things",1,4,8.8,56,2011,17508,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"5","Game of Thrones","The Wolf and the Lion",1,5,9.1,55,2011,18485,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"6","Game of Thrones","A Golden Crown",1,6,9.2,53,2011,18304,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"7","Game of Thrones","You Win or You Die",1,7,9.3,58,2011,18637,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"8","Game of Thrones","The Pointy End",1,8,9.1,59,2011,17074,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"9","Game of Thrones","Baelor",1,9,9.6,57,2011,24288,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"10","Game of Thrones","Fire and Blood",1,10,9.5,53,2011,21456,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"11","Game of Thrones","The North Remembers",2,1,8.9,53,2012,17039,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"12","Game of Thrones","The Night Lands",2,2,8.6,54,2012,15955,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"13","Game of Thrones","What Is Dead May Never Die",2,3,8.9,53,2012,15796,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"14","Game of Thrones","Garden of Bones",2,4,8.9,51,2012,15128,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"15","Game of Thrones","The Ghost of Harrenhal",2,5,8.9,55,2012,15314,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"16","Game of Thrones","The Old Gods and the New",2,6,9.1,54,2012,16263,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"17","Game of Thrones","A Man Without Honor",2,7,9,56,2012,15713,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"18","Game of Thrones","The Prince of Winterfell",2,8,8.9,54,2012,15448,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"19","Game of Thrones","Blackwater",2,9,9.7,55,2012,28264,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"20","Game of Thrones","Valar Morghulis",2,10,9.4,64,2012,19912,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"21","Game of Thrones","Valar Dohaeris",3,1,8.9,55,2013,17475,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"22","Game of Thrones","Dark Wings, Dark Words",3,2,8.6,56,2013,15373,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"23","Game of Thrones","Walk of Punishment",3,3,8.9,56,2013,15712,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"24","Game of Thrones","And Now His Watch Is Ended",3,4,9.6,53,2013,22061,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"25","Game of Thrones","Kissed by Fire",3,5,9,57,2013,15791,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"26","Game of Thrones","The Climb",3,6,8.9,53,2013,15672,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"27","Game of Thrones","The Bear and the Maiden Fair",3,7,8.8,58,2013,15230,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"28","Game of Thrones","Second Sons",3,8,9,56,2013,15639,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"29","Game of Thrones","The Rains of Castamere",3,9,9.9,51,2013,64725,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"30","Game of Thrones","Mhysa",3,10,9.2,63,2013,18056,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"31","Game of Thrones","Two Swords",4,1,9.1,58,2014,21905,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"32","Game of Thrones","The Lion and the Rose",4,2,9.7,52,2014,35890,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"33","Game of Thrones","Breaker of Chains",4,3,8.9,57,2014,17728,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"34","Game of Thrones","Oathkeeper",4,4,8.9,55,2014,16845,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"35","Game of Thrones","First of His Name",4,5,8.8,53,2014,16216,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"36","Game of Thrones","The Laws of Gods and Men",4,6,9.7,51,2014,31054,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"37","Game of Thrones","Mockingbird",4,7,9.2,51,2014,18252,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"38","Game of Thrones","The Mountain and the Viper",4,8,9.7,52,2014,34594,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"39","Game of Thrones","The Watchers on the Wall",4,9,9.6,51,2014,28123,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"40","Game of Thrones","The Children",4,10,9.7,65,2014,28067,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"41","Game of Thrones","The Wars to Come",5,1,8.6,53,2015,18917,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"42","Game of Thrones","The House of Black and White",5,2,8.6,56,2015,15881,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
"43","Game of Thrones","High Sparrow",5,3,8.6,60,2015,15212,"Action","Adventure","Drama",9.4,"TV-MA","Fictional"
